artist_candidate_id	batch_recording_id	confidence	evidence_text	raw_artist_text	relationship_type	review_status	source_id	source_reference
SRC0002-B0004-ART002	SRC0002-B0004-REC012	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='2', raw_track='Señor'	Helenita Vargas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-2
SRC0002-B0004-ART002	SRC0002-B0004-REC013	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='3', raw_track='No Te Pido Más'	Helenita Vargas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-3
SRC0002-B0004-ART002	SRC0002-B0004-REC014	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='4', raw_track='Castiga Tirano'	Helenita Vargas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-4
SRC0002-B0004-ART002	SRC0002-B0004-REC015	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='5', raw_track='Señora'	Helenita Vargas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-5
SRC0002-B0004-ART002	SRC0002-B0004-REC016	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='6', raw_track='Mal Hombre'	Helenita Vargas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-6
SRC0002-B0004-ART002	SRC0002-B0004-REC017	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='7', raw_track='Propiedad Privada'	Helenita Vargas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-7
SRC0002-B0004-ART002	SRC0002-B0004-REC018	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='8', raw_track='La Hija del Penal'	Helenita Vargas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-8
SRC0002-B0004-ART002	SRC0002-B0004-REC019	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='9', raw_track='Me la Robaste'	Helenita Vargas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-9
SRC0002-B0004-ART002	SRC0002-B0004-REC020	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='10', raw_track='Nos Estorbó la Ropa'	Helenita Vargas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-10
SRC0002-B0004-ART003	SRC0002-B0004-REC021	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='1', raw_track='El Carretero'	Guillermo Portabales	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-1
SRC0002-B0004-ART004	SRC0002-B0004-REC022	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='2', raw_track='Malao de Caña'	La Sonora Matancera	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-2
SRC0002-B0004-ART005	SRC0002-B0004-REC023	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='3', raw_track='El Que Siembra Su Maíz'	Orquesta de Bebo Valdés	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-3
SRC0002-B0004-ART006	SRC0002-B0004-REC024	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='4', raw_track='A San Lázaro (Babalú)'	Celina y Reutilio	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-4
SRC0002-B0004-ART007	SRC0002-B0004-REC025	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='5', raw_track='Lupita'	Fruko y Orquesta	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-5
SRC0002-B0004-ART008	SRC0002-B0004-REC026	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='6', raw_track='Yo Tengo Pena'	Los Compadres	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-6
SRC0002-B0004-ART009	SRC0002-B0004-REC027	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='7', raw_track='Mira Que Eres Linda'	Roberto Ledesma	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-7
SRC0002-B0004-ART010	SRC0002-B0004-REC028	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='8', raw_track='Alegre Petición'	Trío Matamoros	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-8
SRC0002-B0004-ART011	SRC0002-B0004-REC029	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='9', raw_track='Nuevamente'	Orlando Contreras	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-9
SRC0002-B0004-ART012	SRC0002-B0004-REC030	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='10', raw_track='Adiós Compay Gato'	Los Guaracheros de Oriente	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-10
SRC0002-B0004-ART013	SRC0002-B0004-REC031	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='1', raw_track='Las Tapas'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-1
SRC0002-B0004-ART013	SRC0002-B0004-REC032	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='2', raw_track='Quiero Ser Feliz'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-2
SRC0002-B0004-ART013	SRC0002-B0004-REC033	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='3', raw_track='Amor Serrano'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-3
SRC0002-B0004-ART013	SRC0002-B0004-REC034	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='4', raw_track='Plegaria'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-4
SRC0002-B0004-ART013	SRC0002-B0004-REC035	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='5', raw_track='Capullo De Rosa Blanca'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-5
SRC0002-B0004-ART013	SRC0002-B0004-REC036	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='6', raw_track='El Bailador'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-6
SRC0002-B0004-ART013	SRC0002-B0004-REC037	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='7', raw_track='Cumbia Árabe'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-7
SRC0002-B0004-ART013	SRC0002-B0004-REC038	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='8', raw_track='La Boquitrompona'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-8
SRC0002-B0004-ART013	SRC0002-B0004-REC039	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='9', raw_track='El Porteñito'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-9
SRC0002-B0004-ART013	SRC0002-B0004-REC040	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='10', raw_track='La Cerveza'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-10
SRC0002-B0004-ART014	SRC0002-B0004-REC041	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='1', raw_track='La Sombra de Tu Sonrisa'	Pacho Galán	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-1
SRC0002-B0004-ART015	SRC0002-B0004-REC042	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='2', raw_track='Santo Domingo'	Los Cumbiamberos de Pacheco	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-2
SRC0002-B0004-ART016	SRC0002-B0004-REC043	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='3', raw_track='El Toro Miura'	Los Corraleros de Majagual	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-3
SRC0002-B0004-ART017	SRC0002-B0004-REC044	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='4', raw_track='Cumbia en Do Menor'	Lito Barrientos	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-4
SRC0002-B0004-ART018	SRC0002-B0004-REC045	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='5', raw_track='El Tirabuzón'	Clímaco Sarmiento	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-5
SRC0002-B0004-ART016	SRC0002-B0004-REC046	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='6', raw_track='La Morena Encarnación'	Los Corraleros de Majagual	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-6
SRC0002-B0004-ART019	SRC0002-B0004-REC047	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='7', raw_track='La Ñeca'	Pedro Laza	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-7
SRC0002-B0004-ART020	SRC0002-B0004-REC048	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='8', raw_track='Cumbia Cienaguera'	Conjunto Típico Vallenato	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-8
SRC0002-B0004-ART014	SRC0002-B0004-REC049	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='9', raw_track='En la Madrugá'	Pacho Galán	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-9
SRC0002-B0004-ART020	SRC0002-B0004-REC050	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='10', raw_track='Cumbia Sampuesana'	Conjunto Típico Vallenato	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-10
SRC0002-B0004-ART013	SRC0002-B0004-REC051	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='1', raw_track='El Barquito'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-1
SRC0002-B0004-ART013	SRC0002-B0004-REC052	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='2', raw_track='La Chivita'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-2
SRC0002-B0004-ART013	SRC0002-B0004-REC053	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='3', raw_track='Los Diez Perritos'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-3
SRC0002-B0004-ART013	SRC0002-B0004-REC054	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='4', raw_track='El Cucú'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-4
SRC0002-B0004-ART013	SRC0002-B0004-REC055	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='5', raw_track='La Gallinita Josefina'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-5
SRC0002-B0004-ART013	SRC0002-B0004-REC056	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='6', raw_track='Los Pollitos Dicen'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-6
SRC0002-B0004-ART013	SRC0002-B0004-REC057	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='7', raw_track='Arriba Juan'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-7
SRC0002-B0004-ART013	SRC0002-B0004-REC058	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='8', raw_track='La Mar'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-8
SRC0002-B0004-ART013	SRC0002-B0004-REC059	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='9', raw_track='Pulgarcito'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-9
SRC0002-B0004-ART013	SRC0002-B0004-REC060	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='10', raw_track='La Cucaracha'	Varios Artistas	credited_artist_candidate	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-10
