unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	candidate_title	review_class	review_detail	existing_recording_id	existing_song_id	matched_performer_id	matched_group_id	resolved_release_id	source_tracklist_status	source_extract_method	candidate_title_clean	extracted_artist_name	split_status	recovered_match_type	recovered_performer_id	recovered_group_id	recovered_entity_name	recovery_status	final_candidate_title	final_artist_name	final_performer_id	final_group_id	unit0119_status	unit0119_recheck_reasons	unit0120_status	unit0120_blockers
UNIT0113-17-094	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	9. El Ciclon - La Sonora Dinamita	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	9. El Ciclon	La Sonora Dinamita	split	group		GRP0255	La Sonora Dinamita	recovered_entity	9. El Ciclon	La Sonora Dinamita		GRP0255	review_required	release_unresolved	promotion_candidate	
UNIT0113-17-095	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	10. El Jardinero - Los Hispanos	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	10. El Jardinero	Los Hispanos	split	group		GRP0278	Los Hispanos	recovered_entity	10. El Jardinero	Los Hispanos		GRP0278	review_required	release_unresolved	promotion_candidate	
UNIT0113-17-096	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	11. La Hamaca Raya - Rodolfo Aicardi Con Los Bestiales	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	11. La Hamaca Raya	Rodolfo Aicardi Con Los Bestiales	split	none				split_only	11. La Hamaca Raya	Rodolfo Aicardi Con Los Bestiales		GRP0292	review_required	release_unresolved	promotion_candidate	
UNIT0113-17-097	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	12. Se Va La Vida - Rodolfo Aicardi Con Los Hermanos Aicardi	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	12. Se Va La Vida	Rodolfo Aicardi Con Los Hermanos Aicardi	split	none				split_only	12. Se Va La Vida	Rodolfo Aicardi Con Los Hermanos Aicardi		GRP0293	review_required	release_unresolved	promotion_candidate	
UNIT0113-17-098	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	13. Muchachita Del Oriente - Los Hispanos	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	13. Muchachita Del Oriente	Los Hispanos	split	group		GRP0278	Los Hispanos	recovered_entity	13. Muchachita Del Oriente	Los Hispanos		GRP0278	review_required	release_unresolved	promotion_candidate	
UNIT0113-17-099	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	14. Ya Voy Hacia Ti - Los Hispanos	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	14. Ya Voy Hacia Ti	Los Hispanos	split	group		GRP0278	Los Hispanos	recovered_entity	14. Ya Voy Hacia Ti	Los Hispanos		GRP0278	review_required	release_unresolved	promotion_candidate	
UNIT0113-17-100	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	15. Lindo Clavelito - Los Hispanos	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	15. Lindo Clavelito	Los Hispanos	split	group		GRP0278	Los Hispanos	recovered_entity	15. Lindo Clavelito	Los Hispanos		GRP0278	review_required	release_unresolved	promotion_candidate	
UNIT0113-17-101	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	16. Negra Candela - Los Hispanos	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	16. Negra Candela	Los Hispanos	split	group		GRP0278	Los Hispanos	recovered_entity	16. Negra Candela	Los Hispanos		GRP0278	review_required	release_unresolved	promotion_candidate	
UNIT0113-17-102	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	17. No Me Alcanza - Rodolfo Aicardi Y Su Tipica Ra7	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	17. No Me Alcanza	Rodolfo Aicardi Y Su Tipica Ra7	split	none				split_only	17. No Me Alcanza	Rodolfo Aicardi Y Su Tipica Ra7		GRP0281	review_required	release_unresolved	promotion_candidate	
UNIT0113-17-103	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	18. Veinte Años - Rodolfo Aicardi Y Su Tipica Ra7	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	18. Veinte Años	Rodolfo Aicardi Y Su Tipica Ra7	split	none				split_only	18. Veinte Años	Rodolfo Aicardi Y Su Tipica Ra7		GRP0281	review_required	release_unresolved	promotion_candidate	
UNIT0113-17-104	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	19. La Ladrona - Rodolfo Aicardi Con El Grupo Monteadentro	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	19. La Ladrona	Rodolfo Aicardi Con El Grupo Monteadentro	split	none				split_only	19. La Ladrona	Rodolfo Aicardi Con El Grupo Monteadentro		GRP0284	review_required	release_unresolved	promotion_candidate	
UNIT0113-17-105	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	20. Provinciana - Rodolfo Aicardi Y Su Tipica Ra7	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	20. Provinciana	Rodolfo Aicardi Y Su Tipica Ra7	split	none				split_only	20. Provinciana	Rodolfo Aicardi Y Su Tipica Ra7		GRP0281	review_required	release_unresolved	promotion_candidate	
